Entité,Type d'entité,Fréquence
CINQUIEME,MISC,2
FINANCIERS,ORG,2
l'Homme et de la,MISC,2
Lillois d'Etudes,PER,2
Recherche sur l'Evolution des Entreprises,MISC,2
Histoire du Nord-Ouest,MISC,2
HVT,LOC,2
Laboratoire de Recherches Economiques,PER,2
Technique,LOC,2
Université de Lille 2),ORG,2
Université de Lille 3),ORG,2
Fupl),MISC,2
"Technique
du Ministère chargé de l'",MISC,2
"Contrat de
Plan État-",MISC,2
bâtiment de l'Ifrési,LOC,2
"Délégation
Régionale",LOC,2
Sciences de l'Homme dans la région Nord,MISC,2
DR : Directeur de recherche,MISC,2
GLEV,ORG,2
PERSONNELS OUVRIERS,MISC,2
"Comité
National
BEREBBI",ORG,2
USfL,ORG,2
PR 5-37,MISC,2
CRAPS MC 2,MISC,2
"Etablissement
Prénom et/ou d'affectation",ORG,2
ILABORESI,ORG,2
Sixièmes Journées,ORG,2
"Université de
Pavie",LOC,2
Agenda 2000,MISC,2
DESIGN,MISC,2
SPATIAL,MISC,2
INFRASTRUCTURE,ORG,2
MEGACORRIDORS,ORG,2
Urban and Mobility,ORG,2
RC,LOC,2
Italy,LOC,2
University of Cardiff,ORG,2
Pasquale DE MURO,LOC,2
Dipartimento di Economia,MISC,2
Università di Roma,PER,2
Sozialwissenschaften,ORG,2
Serena VICARI,PER,2
Department of Political Science,ORG,2
University of Pavia,ORG,2
Napoli,LOC,2
Vanessa REDAK and,PER,2
"Erik
SWYNGEDOUW",PER,2
School of Geography,ORG,2
Institutions Pénales,ORG,2
LEA,MISC,2
Hans-Jorg Albrecht,PER,2
Damien Cassan,PER,2
Universiteit Gent,ORG,2
Sophie Body-Gendrot,PER,2
Patrick Hebberecht,PER,2
Yves Cartuyvels,PER,2
Escola de Policia de Catalunya,PER,2
Laurent Mucchielli,PER,2
Hygiène,PER,2
L. Mucchielli,PER,2
CNRS-CESDIP,MISC,2
Mucchielli,PER,2
XXL,MISC,2
Entrées,MISC,2
exportatrice,LOC,2
J. Heilbron,PER,2
NORD-PAS-DE-CALAIS,ORG,2
J.C. VERREZ,PER,2
PARIS Didier,PER,2
Disparités géographiques internes,ORG,2
Cinquièmes journées,ORG,2
Sixièmes,LOC,2
Variations,LOC,2
Colloque de l'A.S.R.D.LF,MISC,2
"Nord-Pas
de-Calais",LOC,2
Actes de la 3ème,MISC,2
"Conférence Internationale du
Réseau PGV",MISC,2
Pays-Bas modernes,LOC,2
Septentrion ed,MISC,2
300p,ORG,2
L'histoire à rebours,MISC,2
Juifs,MISC,2
LOUW Gilbert red,PER,2
Juifs des Flandres,MISC,2
Université C. De Gaulle ed,ORG,2
L'Allemagne,ORG,2
"La ""déstasification",MISC,2
W 146,MISC,2
A. Grosser,PER,2
Historique,PER,2
Entre l'individualisation et la globalisation,MISC,2
Revue d'Economie Urbaine,MISC,2
KRIFA H,ORG,2
Association de Sciences Regionales,ORG,2
TrCM',MISC,2
ASEAN,ORG,2
Importance et Effects,MISC,2
GRECOS,ORG,2
Elise VERLEY,LOC,2
Jean Claude RABIER,PER,2
Françoise DAUTY,PER,2
LIHRE de Toulouse,LOC,2
Elodie LEIGNIEL,PER,2
François STANKIEWITCZ,PER,2
Université de Kwansei Gakuin,ORG,2
Céreq Marseille,ORG,2
Hôtellerie,LOC,2
Génération 92,ORG,2
Les formations et emplois de la maintenance industrielle,MISC,2
DESCO,ORG,2
Les difficultés de recrutement au niveau régional,MISC,2
IGUCHI Yasushi STANKIEWITCZ François,ORG,2
CERS A TES,LOC,2
Turgot,PER,2
XVIè,MISC,2
Individuelles,LOC,2
"opération
Rapport",MISC,2
HÙRLING,MISC,2
Hans,MISC,2
UW,MISC,2
Motifs économiques,MISC,2
fév,ORG,2
2001,MISC,2
Actualité,MISC,2
MENDES,MISC,2
R. & QUIMINAL,ORG,2
82-83,LOC,2
Socio-anthropologie,ORG,2
BOURDARIAS,ORG,2
F. & SELIM,MISC,2
Occultation,ORG,2
Groupement des anthropologistes de langue française,ORG,2
Sinaia,PER,2
Considérations,MISC,2
"Groupement
des anthropologistes de langue française",ORG,2
Sinaia,LOC,2
Lise DEMAILL Y,ORG,2
"Education
nationale",ORG,2
G. Hamilton,PER,2
P. DiMaggio,PER,2
Traductions,LOC,2
Donald Broady,PER,2
Natalia Chmatko,PER,2
Monique de Saint Martin,PER,2
Uppsala,MISC,2
Traductions et communications européennes,MISC,2
Journal des Anthropologues,ORG,2
Compte-rendu du livre de P. Bourdieu,MISC,2
Structures Sociales de l'Economie,MISC,2
Sociology European Electronic,ORG,2
Number 1,MISC,2
Wat je ziet ben je zelf',MISC,2
Kooivechten,LOC,2
"van het
wedstrijdvechten",PER,2
Cultural World-System,LOC,2
"European
Journal of Social Theory",ORG,2
"4'h European
Conference of Sociology",LOC,2
August,LOC,2
Les grands courants de la sociologie économique,MISC,2
"Communication à la Journée de
L'Association Française des Anthropologues",MISC,2
Anthropologie,LOC,2
"La ""nouvelle sociologie économique",MISC,2
Communication à la Conference,MISC,2
Millennium,LOC,2
January 2000,MISC,2
Mulliez,LOC,2
"Séminaire de Sociologie
Economique",LOC,2
"Communication au colloque de Sociologie Economique de
Stockholm",MISC,2
if.d,ORG,2
Académie royale des sciences,ORG,2
SCASSS,ORG,2
Translations as a cultural,MISC,2
"Congrès de l'Association internationale pour l'étude
empirique de la littérature",MISC,2
Echanges économiques,MISC,2
Mead,PER,2
"M. de Fornal, A. Ogien",MISC,2
L. Quéré,PER,2
"L'ethnométhodologie.
",MISC,2
Revue du Collège International de Philosophie,MISC,2
Rue Descartes,LOC,2
UNE SOCIETE,ORG,2
INFORMATION,ORG,2
F. Hom,PER,2
C. Merlin,PER,2
E. Torrès,PER,2
Review of Income and Wealth,ORG,2
Service universel,ORG,2
The Provider-Customer,MISC,2
Formes,PER,2
"Collection de la
Mission de la Recherche de La Poste",ORG,2
LII,MISC,2
Formes,LOC,2
"Revue internationale d'action
communautaire",MISC,2
p. 75-87,PER,2
Compter,LOC,2
D. Kaisergruber,PER,2
J. Landrieu,PER,2
L'Aube Editions,MISC,2
The characterization of goods and services,MISC,2
Series 46,ORG,2
September,PER,2
Asymmetry of information and the service relationship,ORG,2
DUPLAA Delphine,MISC,2
Valeur,LOC,2
Mission recherche) de,MISC,2
Rapport de recherche pour la mission de la recherche de,MISC,2
La poste,MISC,2
Etude pour la Mission Recherche de La Poste,MISC,2
Corrado,MISC,2
HORN,LOC,2
Freville,LOC,2
MARTINELLI Flavia,PER,2
L'economia dei servizi,MISC,2
DELAUNAY Jean-Claude,PER,2
Masao Watanabe,PER,2
Kerdjémil Boukhalfa,PER,2
Hassan Zaoual,PER,2
Économique,LOC,2
La galaxie des services,MISC,2
Kergoat,LOC,2
Le monde du travail,MISC,2
G. Essama,PER,2
Corrado,PER,2
Nouvel,ORG,2
Logiciel Libre,MISC,2
Automne-Hiver,PER,2
Alice,MISC,2
Revue de critique du temps no 3,MISC,2
Diversité des informations traitées,ORG,2
Communications et stratégies n°33,MISC,2
SOLARIS,MISC,2
Le tourisme,MISC,2
Une socio-économie des pratiques touristiques,MISC,2
Libre,LOC,2
"Conférence internationale ""Economie",ORG,2
"Economie
Industrielle",PER,2
Compétition mondiale,ORG,2
Critique,MISC,2
Neo-Schumpeterian,ORG,2
MILES 1,ORG,2
Beyond,PER,2
Interactional,LOC,2
FUGLSANG L,MISC,2
SUNDBO Jon,LOC,2
S. MILES 1,MISC,2
Services and Systems,ORG,2
Kluwer Academies Publishers,ORG,2
Technologies de l'information,MISC,2
EGS,ORG,2
W2,MISC,2
The rise of information,MISC,2
"Special issue, novembre-décembre",MISC,2
New technology work and,LOC,2
Services and the search for,ORG,2
Vol26,LOC,2
Août,MISC,2
Education et,MISC,2
Formations,LOC,2
What is innovation in services,MISC,2
"European Journal of
innovation management",ORG,2
Patterns of innovation,MISC,2
Science and Public Policy,ORG,2
Jean GALLOUJ Faïz,PER,2
The provider-customer,MISC,2
Research Policy,ORG,2
Innovating,LOC,2
Innovation in services and the attendant myths,MISC,2
Journal of socio-economics,ORG,2
SUNDBO,ORG,2
Innovation as a loosely coupled system in services,MISC,2
International Journal of Services,ORG,2
Innovation trajectories in french,MISC,2
Innovation in service industries in France,MISC,2
"Rapport
pour la",MISC,2
Commissariat général du Plan,LOC,2
Innovation in services,MISC,2
Innovation in the information society sectors,MISC,2
implication for women',MISC,2
Innovation in the information society sectors and opportunities for women,MISC,2
Les sciences humaines et sociales,MISC,2
"Ministère de l'éducation
nationale",ORG,2
Innovation in services in seven,MISC,2
Innovation surveys for service,MISC,2
"Conference on innovation and
",MISC,2
European Commision,ORG,2
Eurostat,ORG,2
Sophia Antipolis,LOC,2
Blankenbergue,PER,2
Alcala de Henares,PER,2
Association Nationale,ORG,2
Séminaire OST,MISC,2
SUNDBO Jon,PER,2
CRIC workshop,ORG,2
Systems and services,ORG,2
UMIST,MISC,2
Manchester,MISC,2
Université de Paris-Dauphine,ORG,2
Changement institutionnel,MISC,2
International Seminar,LOC,2
Innovation trajectories in services,MISC,2
PhD Seminar,PER,2
ESST,ORG,2
November 25,MISC,2
"Colloque
international """,MISC,2
Economies and Socioeconomics of Services,ORG,2
Christophe BARET,PER,2
France-Japon-Etats-Unis,LOC,2
DIRKS Daniel,PER,2
HUCHET Jean-François,PER,2
Springler Verlag,PER,2
Japanese Food Retailing,ORG,2
Leigh SPARKS,PER,2
"Christophe
BARET",PER,2
Germany,ORG,2
SEGHIN,LOC,2
Sébastien,PER,2
Grandes,PER,2
Insee Première,ORG,2
Niveau,LOC,2
L'emploi et les services du commerce,MISC,2
L'emploi dans le commerce de détail japonais,MISC,2
Maurice Marc,PER,2
Nohara Hiroatsu,PER,2
Problèmes politiques et sociaux,MISC,2
L'emploi commercial,MISC,2
The retail sector,MISC,2
why so many,MISC,2
jobs in America and so,MISC,2
Levels and systems,ORG,2
"Japanese
retail trade",ORG,2
Cambridge Journal of Economies,ORG,2
Y-,LOC,2
Japonais,LOC,2
Société Franco-Japonaise des Techniques Industrielles,ORG,2
L'emploi juste-à-temps dans la distribution,MISC,2
Care Services for the,ORG,2
Japanese Elderly,PER,2
Discussion Paper,PER,2
School of Economies,ORG,2
University of Nagoya,ORG,2
Daiéisme,PER,2
balance,LOC,2
Revue de la Chambre de Commerce et d'Industrie Française,MISC,2
La TVA,MISC,2
MERIOT Sylvie-Anne,PER,2
Employment development and creation in the European,ORG,2
Eurofiet,LOC,2
Conférence Internationale,MISC,2
JANY,ORG,2
quality in the American Food and Accomodation Sector,MISC,2
22nd International Working Party,ORG,2
Labour Market Segmentation,ORG,2
"Université de
Keio",ORG,2
Département des politiques publiques de communication,ORG,2
Flexible,MISC,2
Japanese retailing,ORG,2
just-in-time,MISC,2
"New
",MISC,2
Phase in Japanese,MISC,2
Maison Franco-japonaise,LOC,2
Faculté d'économie de l',ORG,2
Nouvelle d'Ingénieurs en Communication,ORG,2
"Toyotism and Daieism""",ORG,2
The Economies and Socio-Economics of services,ORG,2
"International
Perspectives",ORG,2
Olivier,LOC,2
P. Besson,PER,2
F. Sauvage,PER,2
E. Lazega,PER,2
G. Duchesne,PER,2
DTT,ORG,2
Das Aubry,PER,2
arbeitszeitverkürzung in Frankreich,MISC,2
BECKER U.,MISC,2
Mécanismes,LOC,2
Echange,MISC,2
p. 48-51,PER,2
France-Allemagne-Grande-Bretagne,ORG,2
Flexibilité à court terme et flexibilité durable,MISC,2
Personnel,PER,2
Time in Large,MISC,2
March,LOC,2
"Aménagement réduction du temps
de travail",MISC,2
Frauen in der informationsgesellschaft,MISC,2
Dusseldorf,PER,2
PERNOD-LEMATIRE,LOC,2
Conférence Internationale,ORG,2
Cr~~,MISC,2
GRAPHE-CLAREE,ORG,2
Aubry II,PER,2
RTI,ORG,2
Résultats,MISC,2
CAZAL Didier,MISC,2
Droit,MISC,2
XVèmes Journées nationale,ORG,2
Editions Dalloz,LOC,2
BOUFFARTIGUE,MISC,2
"Conseil Régional Nord-Pas
de Calais",LOC,2
Programme ARIT,ORG,2
Rapport d'études,MISC,2
"Nord-Pas de Calais"" Vème Congrès",LOC,2
"Journées d'Etudes
Scientifiques Pluridisciplinaires",MISC,2
Incidences de l'Aménagement-Réduction du Temps de Travail,ORG,2
JOème Congrès,MISC,2
"Gestion des
",ORG,2
COMPETENCES,ORG,2
Activités de travail et dynamique des compétences,MISC,2
"Comprendre
Annales des Mines",MISC,2
BESSON,PER,2
final report,MISC,2
Editions d'Organisation,LOC,2
pp.71-89,LOC,2
pp.77-92,MISC,2
Transport routier,MISC,2
NETS,MISC,2
"ANACT Travail et
Changement",ORG,2
Enjeux stratégiques et action collective,MISC,2
BESSON Patrick,PER,2
Construire,PER,2
Mobiliser,PER,2
La gestion des compétences,MISC,2
Ecole Supérieure des Affaires de Grenoble,ORG,2
Centre d'Etudes et de Recherches Appliquées,LOC,2
"Université de
Grenoble",LOC,2
Gestion des Ressources Humaines,ORG,2
Frédéric SAUVAGE,PER,2
Financement Contrat de Plan Etat-Région,MISC,2
iq~,MISC,2
CLERSE-LASMAS-IFRESI,LOC,2
Science and,ORG,2
Neo-Schumpeterian,PER,2
Pinter Publishers,ORG,2
Sundbo J.,PER,2
Fuglsang L,MISC,2
E.Lazega,ORG,2
ARC,MISC,2
The Collegial Phenomenon,ORG,2
Generic Social Processes in Knowledge,PER,2
Organizations,ORG,2
LAZEGA,MISC,2
Conventions and,ORG,2
Ouvrage collectif préparé,MISC,2
Cheltenham,LOC,2
"Conventions and Structures in Economie
Organization",MISC,2
Markets,LOC,2
MOUNIER,MISC,2
Structural economie,ORG,2
Emmanuel Lazega,PER,2
Conventions and Structures in Economie Organization,MISC,2
Norbert Alter,PER,2
Social Mechanisms as,ORG,2
Philippa Pattison,PER,2
Nan Lin,PER,2
Karen Cook,PER,2
Theory and Research,ORG,2
Aldine de Gruyter,PER,2
Generalized Exchange and,ORG,2
"Corporate Social Capital and
Liabilities",MISC,2
"Kluwer
Articles",LOC,2
Lateral,LOC,2
Control Mechanism As,PER,2
"Research in the
",ORG,2
Sociology ofOrganizations,MISC,2
Teaming,ORG,2
Cooperation and,ORG,2
Collegial Organization,ORG,2
"European
Sociological Review",MISC,2
Enforcing,LOC,2
Organization Studies,ORG,2
David KRACKHARDT,PER,2
Spreading and Shifting Costs of Lateral Control in a Law,ORG,2
Individual Leve!,MISC,2
Quality and Quantity,ORG,2
Philippa E.,PER,2
Multiplexity,MISC,2
"Generalized Exchange and Cooperation in
Organizations",ORG,2
"August
LAZEGA",PER,2
Vancouver,LOC,2
"Avril
LAZEGA",ORG,2
Réseaux sociaux,ORG,2
Journées de l'Ecole Doctorale,MISC,2
économiq~,LOC,2
Eléments,ORG,2
OPERATION ACHEVEE,LOC,2
Lisrel,PER,2
"L.
Demailly",PER,2
P. Roquet,PER,2
Observatoire des Formations,LOC,2
Observatoire Régional des Etudes Supérieures,LOC,2
OPERATION NOUVELLE,ORG,2
UK,LOC,2
CFB,ORG,2
pr~,MISC,2
EDUCATION,LOC,2
PROFOR,MISC,2
Rectorat de l'académie,ORG,2
La société française face au bilinguisme,MISC,2
SYSTEMES,ORG,2
FICHEZ Elisabeth,MISC,2
Julien,PER,2
Industries éducatives,ORG,2
Édition de l'Université Lille 3,MISC,2
S. Botte,LOC,2
Économie des ressources humaines,MISC,2
Vérez,PER,2
L'Harmat-tan,MISC,2
De la productivité marginale,MISC,2
Le fragile équilibre de la formation en alternance,MISC,2
Octobre-Décembre,LOC,2
Économie publique,MISC,2
IDEP,MISC,2
"Actualité de la
formation permanente",MISC,2
Septembre-Octobre,MISC,2
L'efficacité de la formation,MISC,2
Revue Économique,ORG,2
La déspécialisation du travail dans les structures modulaires du,MISC,2
Direction de la Stratégie,MISC,2
Training and Employment,MISC,2
French Case,MISC,2
VI•,MISC,2
Typologie des systèmes nationaux,MISC,2
Politique éducative et formation en alternance,ORG,2
"xx• journées de l'Association
d'Économie Sociale",ORG,2
GREQAM,LOC,2
VI• journées,ORG,2
Atelier 2,MISC,2
Gestion de l'emploi,MISC,2
Adaptabilité de la main-d'œuvre et politiques de formation dans l'entreprise,ORG,2
v• journées,ORG,2
Future prospects of graduates,MISC,2
Colloque international Educational Expansion,MISC,2
"Employment
and Labour markets",ORG,2
LIHRE,MISC,2
Entreprises,PER,2
Système national de formation professionnelle,MISC,2
"Université
de Lille 1",LOC,2
Laboratoire Printemps,PER,2
LEIGNEL Élodie,MISC,2
MOBUS,MISC,2
VUIBERT,LOC,2
JACOB Nathalie,PER,2
Rapport d'audit pour la DRDJS,MISC,2
DAUTY François,MISC,2
Mission d'expertise,MISC,2
NEYRAT Frédéric,PER,2
PELAGE Agnès,PER,2
ROQUET Pascal,PER,2
"Documents pour l'enseignement économique et
social",MISC,2
Rapport de recherche CLERSE,MISC,2
"Communication à la Journée d'Etudes de l'Association des
Psychologues-Orienteurs",MISC,2
Communication à l'Université d'Artois,MISC,2
Hiérarchie,LOC,2
"Communication au Centre de Sociologie
Européenne",MISC,2
Parcours de formation,MISC,2
Groupe de travail sur l'enseignement supérieur,ORG,2
Daniel Martinelli,PER,2
I996-97,LOC,2
Pôle,ORG,2
GUGENHEIM,MISC,2
Situation,PER,2
LEA-UVHC,ORG,2
Les diplômés Bac+3,MISC,2
I995,PER,2
Devenir des diplômés 1994,MISC,2
I997,MISC,2
CJES Nord,LOC,2
Pas-de-Calais Picardie,LOC,2
Paroles,PER,2
"L'Observatoire Régional des Etudes Supérieures du Nord/Pas-de
Calais",MISC,2
OURIP,ORG,2
Dix ans d'observation,MISC,2
ROELANDT J.L. 2000,PER,2
"G.
Cresson coord ENSP",PER,2
"Les Presses du
Septentrion",MISC,2
"V AN ZANTEN A.,coord",ORG,2
Conflits,MISC,2
Sociologica del Lavoro,PER,2
Revue Française de pédagogie,MISC,2
Conseil économique et social du Nord Pas,ORG,2
DEMAILL,ORG,2
VERDIERE J 2000,MISC,2
METIERS,MISC,2
Professions et institutions de santé face,MISC,2
F.X.Schweyer,LOC,2
Espaces vécu et territoire,MISC,2
Les usagers du système de soins,MISC,2
F.X.schweyer,LOC,2
Incertitudes,LOC,2
Journées de sociologie du travail,MISC,2
Blankenberge,LOC,2
DEMBINSKI,MISC,2
Approche ethnographique des savoirs professionnels infirmiers,MISC,2
"Journées de la Société
Française de Sociologie",MISC,2
Connaissance,PER,2
L'innovation à l'hôpital,MISC,2
Journées d'études LAPSS-AISLF,MISC,2
Espace,PER,2
CLERSE-AISLF,ORG,2
L'organisation du travail hospitalier,MISC,2
CHU,MISC,2
GADEA Charles,PER,2
Association internationale de sociologie,ORG,2
Université de Versailles Saint-Quentin-en-Yvelines,LOC,2
"Chercheurs
CRHENO",MISC,2
de Lille-Roubaix-Tourcoing,LOC,2
Seraing,LOC,2
XIIIe,MISC,2
Maubeuge,LOC,2
Régime,LOC,2
"Démographie urbaine, urbanisation",MISC,2
p.279-748,LOC,2
BONDUE ed,PER,2
Les métamorphoses des réseaux urbains de,MISC,2
Valet,LOC,2
FERRIERE,MISC,2
VA YER,ORG,2
Industrialisation,MISC,2
BARRIERE,ORG,2
Jean Paul,PER,2
Bulletin de la SHMC,PER,2
Philippe le Bon,PER,2
Rem Kolhaas,PER,2
Louis XV,PER,2
Napoléon,PER,2
"civilisation urbaine des Pays
",LOC,2
Congrès national des sociétés historiques,MISC,2
Charles Quint,PER,2
colloque Pouvoirs des Familles,MISC,2
Pays Minier,LOC,2
Libercourt,LOC,2
Mission du Patrimoine Ethnologique du Ministère de la Culture,MISC,2
Un puits de science,MISC,2
Témoignages de mineurs du 9 de Oignies,MISC,2
Présentation de la fosse 9 de Oignies,MISC,2
Comment sont évoqués,MISC,2
Le passé quotidien,MISC,2
"Nord -
Pas de Calais",LOC,2
Val.e-,PER,2
RABIER Jean-Claude,PER,2
Université Lille 1,ORG,2
IFRESI-CNRS,MISC,2
CERCHAR,LOC,2
Science and Industry,ORG,2
The Research Center,ORG,2
IMHC,MISC,2
Tuesday-Friday 12,PER,2
Milos Island Greece,LOC,2
Centre d'Etudes et de Recherches des Charbonnages de France,LOC,2
CNRS-SHS-Paris 1,ORG,2
SAEZ Guy,PER,2
L'Investissement patrimonial,MISC,2
Rhône,LOC,2
Haut-Rhin,LOC,2
Finistère,LOC,2
Histoire des politiques du Patrimoine,ORG,2
"Comité
d'histoire du",ORG,2
Dette Mémoire,PER,2
Association,MISC,2
Mémoires et mémoire,MISC,2
Préfecture,LOC,2
THE WOOL,MISC,2
Huddersfield,LOC,2
Schio-Valdagno,LOC,2
G. Cliquet,PER,2
J.-M. Josselin,PER,2
"La Nouvelle
économie géographique",MISC,2
Bibliothèque de Science Régionale,ORG,2
Rural,ORG,2
The spatial division of labour,MISC,2
The Economies of Cities,MISC,2
Jacques Thisse,PER,2
Jean-Marie Huriot,PER,2
Cambridge University Press,ORG,2
Taxation,MISC,2
"Revue d'Economie
",PER,2
Prévision,ORG,2
Attraction du capital,MISC,2
Document de travail du SIUTE,MISC,2
Conférence IDEP,MISC,2
Faculté Jean Monnet,ORG,2
Sceaux,LOC,2
"American
Regional",ORG,2
Calais Colloque,LOC,2
SESAME,LOC,2
European Regional,ORG,2
Colloque CREREG,PER,2
Université Rennes,ORG,2
"North American Regional Science
",MISC,2
SantaFe,LOC,2
Puebla,LOC,2
Notre objectif,MISC,2
Peck,PER,2
"Pinter
MOULAERT",ORG,2
E. Wever,PER,2
Globalization,PER,2
Observations,LOC,2
Econométrie,ORG,2
Ecole Historique Allemande,ORG,2
Modèles d'Innovation Territoriale,MISC,2
W,LOC,2
Lesbos,PER,2
Chias,PER,2
Research progress report,MISC,2
Présentation d'un projet de communication,MISC,2
Thünen,PER,2
Communication au colloque de l',MISC,2
ESHET,MISC,2
German spatial economies,MISC,2
J.B. BOY ABE,ORG,2
Island Economies,ORG,2
an Institutionalist Perspective,MISC,2
Philippe Aydalot,PER,2
XXXV ème,MISC,2
Septembre Hyères,MISC,2
"Participation au
",MISC,2
Séminaire Européen des Doctorants,LOC,2
SEDER,ORG,2
Université Bordeaux IV,ORG,2
Objectifs,LOC,2
Wever,PER,2
Hélène,PER,2
Services,ORG,2
Allen Scott,PER,2
Intensive Services and Innovation,PER,2
Fischer,PER,2
J. Malezieux,PER,2
Commission de l'Organisation de l'espace industriel,ORG,2
Geografia,PER,2
Geografos Espanoles,PER,2
Alacant,LOC,2
Jean-François STEVENS,PER,2
Région urbaine,LOC,2
Rijsel,PER,2
pp.270,LOC,2
Petit Guide de Prospective-Nord-Pas,MISC,2
Calais 2020,LOC,2
Social,ORG,2
Institut Jules DESTREE,ORG,2
APIM,ORG,2
Conseil régional Nord-Pas-de-Calais,LOC,2
OPERATION NOUVELLE,LOC,2
G. Michelat,PER,2
P. Mathiot,PER,2
La sélectivité des aides personnelles,MISC,2
Politiques Sociales Catégorielles,ORG,2
"L'Harmattan
",MISC,2
Prévisions,PER,2
Document de Travail,PER,2
Public Policy and Renewal of Old Housing,ORG,2
Housing Studies,ORG,2
W 6,LOC,2
Opah,LOC,2
Observatoire régional de l'habitat,LOC,2
Évaluer,PER,2
DEMAILLY L. Ed,PER,2
Évaluation des politiques éducatives,MISC,2
"Conseil
Scientifique",ORG,2
JC Thoenig,PER,2
DEMBINSKI O. 2000,MISC,2
"Hôpital"" Education",LOC,2
Revue Tocqueville,PER,2
Ministère de l'Education nationale)/ IFRESI-CNRS,ORG,2
Fonds d'urgence sociale,ORG,2
"opération
Ouvrages
",MISC,2
Murielle,ORG,2
Saül,PER,2
Jean-Noël,LOC,2
Vill,MISC,2
À quoi sert le travail social?,MISC,2
Automne,LOC,2
BRESSON,MISC,2
"Juillet-Décembre 2000c
VAUBOURGEIX",PER,2
Sergine),MISC,2
CASU,ORG,2
"Revue française des
affaires sociales",MISC,2
Rapport de synthèse,MISC,2
MIRE-IFRESI,ORG,2
VALDENAIRE,MISC,2
IFRESI-Ministère de l'Emploi,LOC,2
Direction de l'Action,ORG,2
Janvier 1999a,PER,2
Évaluation du dispositif d'insertion du département du Pas de Calais,MISC,2
"Conseil
Général",ORG,2
Mai 1999b,MISC,2
"Rapport intermédiaire de
recherche",MISC,2
IFRESI-INSERM,MISC,2
Janvier 2000a,PER,2
Michel) VAUBOURGEIX,MISC,2
"Commissions de l'action
sociale d'urgence études",MISC,2
Mai 2000b,MISC,2
Vanessa,LOC,2
VAUBOURGEIX,LOC,2
Juillet 2000c,PER,2
Bernadette) VAUBOURGEIX,MISC,2
CAF de Calais,LOC,2
Roubaix Tourcoing,PER,2
Septembre 2000d,MISC,2
Stéphane) VAUBOURGEIX,MISC,2
Ville de Dunkerque,LOC,2
Octobre 2000e,MISC,2
Ministère de l'Intérieur,ORG,2
ED,LOC,2
"London and
Washington",ORG,2
Janvier 2000b,PER,2
Maryse),MISC,2
Michelat,PER,2
Catholiques,MISC,2
PERRINEAU Pascal,MISC,2
REYNIÉ Dominique,PER,2
Parti communiste,ORG,2
Appartenance ouvrière et attitudes politiques : permanences,ORG,2
CREST 1,ORG,2
Revue Française de Science Politique,MISC,2
"Groupe
Politiques",ORG,2
The Members of the French Socialists Cabinets,MISC,2
Sociology of an,MISC,2
MODES DE VIE,PER,2
M. Bresson,PER,2
Pigou,PER,2
vi€/,LOC,2
Poor urban,MISC,2
"from the crisis of integration modes to the development
of ""communitarian",MISC,2
E. Klinenberg,PER,2
The new urban marginality in the dual metropolis,MISC,2
Les drogues en,MISC,2
Georg Editeur,PER,2
Drug traficking and,MISC,2
Neighbourhoods,ORG,2
"D. KORF D., and
",PER,2
RIPER H.,ORG,2
Siswo,LOC,2
Regards sur la drogue,MISC,2
vol24,ORG,2
Faire du business dans les quartiers,MISC,2
département des Hauts-de-Seine,LOC,2
L'économie de la drogue,MISC,2
Seine St. Denis,LOC,2
Grass-Ofdt,LOC,2
OBLET,MISC,2
C. LEFEBVRE C.,MISC,2
"Nouveaux enjeux, nouvelles approches",MISC,2
Colloque international à l'occasion,MISC,2
Universitaires de Rennes,LOC,2
"Société,
trim./décembre",ORG,2
Agora Débats,PER,2
Jeunesses,MISC,2
Métier,PER,2
Association Française de Criminologie,ORG,2
colloque international Normes,MISC,2
"Groupement de
Recherche du CNRS",ORG,2
Psychotropes,MISC,2
Politique et Société,MISC,2
Europe-Amérique,LOC,2
"Maison de la Recherche
",PER,2
Gabriel Gasselin,PER,2
BOROWIEC M.,MISC,2
DUFLOS G.,PER,2
FREY D.,PER,2
SERUZELLE J.,MISC,2
CRDP Nord-Pas-de-Calais,LOC,2
Victimations et violences urbaines dans les cités,MISC,2
Crimes,LOC,2
Femmes issues,MISC,2
Au cœur de l'exclusion,MISC,2
Sociabilités et usages du quartier,MISC,2
En marge de la ville,MISC,2
Les enfants d'immigrés dans les cités des villes françaises,MISC,2
Hunout,PER,2
Immigration,ORG,2
À propos d'expériences de la discrimination,MISC,2
Revue Espaces Marx,PER,2
"Revue européenne des
migrations",ORG,2
Nour el houda,MISC,2
Séminaire de recherche de l',LOC,2
CLÉS,ORG,2
Sociétés Africaines,ORG,2
Diaspora,PER,2
Spirale,LOC,2
La Faute,MISC,2
Rousseau,PER,2
Événements,MISC,2
Austriche,LOC,2
v fe,PER,2
Urban Restructuring and Social,MISC,2
2001),MISC,2
in European,LOC,2
RODRIGUEZ Arantxa eds,PER,2
"Special
issue of Estudios Territoriales",ORG,2
VICARI,ORG,2
European Cities,PER,2
"Special issue of Rassegna ltalania di
Sociologia",MISC,2
ALMS,ORG,2
gardiens de la paix,ORG,2
Minorités,PER,2
Police-Douanes,ORG,2
DILUES Virginie,PER,2
Police,MISC,2
Ifrési-Clersé,LOC,2
La Commune,MISC,2
AEMO,ORG,2
Pearce,LOC,2
la Pareto-optimalité,LOC,2
y(.e,MISC,2
Histoire du risque,MISC,2
